county_fips,county_name,county_seat,state_name,state_abbr,year,population_total,population_white,population_black,population_am_ind,population_asian,population_pacific,population_two_races_nh,population_hispanic,population_over_18_total,population_pct_white,population_pct_black,population_pct_am_ind,population_pct_asian,population_pct_pacific,population_pct_two_races_nh,population_pct_hispanic,population_pct_over_18,bachelor_degree_pct_of_adults,median_household_income_2010,poverty_pct_overall_2010,poverty_pct_under_18_2010,votes_democrat,votes_republican,votes_other,votes_total,votes_pct_democrat,votes_pct_republican,votes_pct_other,votes_pct_two_party_democrat,votes_pct_two_party_republican,winning_party,winning_margin,winning_two_party_margin,votes_pct_partisan_index,votes_pct_swing_from_prev_election
01001,Autauga,Prattville,Alabama,AL,2000,44021,35162,7503,186,200,12,346,612,31619,0.79876,0.17044,0.00423,0.00454,0.00027,0.00786,0.0139,0.71827,0.18,53049,0.119,0.175,4942,11993,273,17208,0.28719,0.69694,0.01586,0.29182,0.70818,REPUBLICAN,0.40975,-0.40975,-0.20746,
01001,Autauga,Prattville,Alabama,AL,2004,48366,38129,8337,206,318,13,494,869,34890,0.78834,0.17237,0.00426,0.00657,0.00027,0.01021,0.01797,0.72137,0.19854,53049,0.119,0.175,4758,15196,127,20081,0.23694,0.75674,0.00632,0.23845,0.76155,REPUBLICAN,0.5198,-0.5198,-0.24758,-0.11005
01001,Autauga,Prattville,Alabama,AL,2008,53277,41376,9409,216,420,21,660,1175,38702,0.77662,0.17661,0.00405,0.00788,0.00039,0.01239,0.02205,0.72643,0.217078306,53049,0.119,0.175,6093,17403,145,23641,0.25773,0.73614,0.00613,0.25932,0.74068,REPUBLICAN,0.47841,-0.47841,-0.27557,0.04139
01001,Autauga,Prattville,Alabama,AL,2012,54954,42188,9876,246,545,29,755,1315,40970,0.7677,0.17971,0.00448,0.00992,0.00053,0.01374,0.02393,0.74553,0.21708,53049,0.119,0.175,6363,17379,190,23932,0.26588,0.72618,0.00794,0.26801,0.73199,REPUBLICAN,0.4603,-0.4603,-0.24945,0.01811
01001,Autauga,Prattville,Alabama,AL,2016,55243,41471,10461,231,634,34,914,1498,42189,0.7507,0.18936,0.00418,0.01148,0.00062,0.01655,0.02712,0.7637,0.24995,53049,0.119,0.175,5936,18172,865,24973,0.2377,0.72767,0.03464,0.24623,0.75377,REPUBLICAN,0.48997,-0.48997,-0.25548,-0.02967
01001,Autauga,Prattville,Alabama,AL,2020,58909,42862,11916,241,667,45,1044,2134,45213,0.7276,0.20228,0.00409,0.01132,0.00076,0.01772,0.03623,0.76751,0.28283,53049,0.119,0.175,7503,19838,429,27770,0.27018,0.71437,0.01545,0.27442,0.72558,REPUBLICAN,0.44419,-0.44419,-0.24437,0.04578
01001,Autauga,Prattville,Alabama,AL,2024,61464,43599,13078,250,827,48,1197,2465,47450,0.70934,0.21277,0.00407,0.01346,0.00078,0.01947,0.0401,0.772,0.28283,53049,0.119,0.175,7439,20484,358,28281,0.26304,0.7243,0.01266,0.26641,0.73359,REPUBLICAN,0.46126,-0.46126,-0.22327,-0.01707
01003,Baldwin,Bay Minette,Alabama,AL,2000,141342,121887,14468,761,540,37,1154,2495,107261,0.86236,0.10236,0.00538,0.00382,0.00026,0.00816,0.01765,0.75888,0.231,47618,0.133,0.202,13997,40872,1611,56480,0.24782,0.72365,0.02852,0.2551,0.7449,REPUBLICAN,0.47583,-0.47583,-0.2405,
01003,Baldwin,Bay Minette,Alabama,AL,2004,156266,133471,15292,911,923,53,1506,4110,119981,0.85413,0.09786,0.00583,0.00591,0.00034,0.00964,0.0263,0.7678,0.25421,47618,0.133,0.202,15599,52971,750,69320,0.22503,0.76415,0.01082,0.22749,0.77251,REPUBLICAN,0.53912,-0.53912,-0.25725,-0.06329
01003,Baldwin,Bay Minette,Alabama,AL,2008,175827,148139,16442,1069,1207,75,2042,6853,135085,0.84253,0.09351,0.00608,0.00686,0.00043,0.01161,0.03898,0.76828,0.277415908,47618,0.133,0.202,19386,61271,756,81413,0.23812,0.75259,0.00929,0.24035,0.75965,REPUBLICAN,0.51447,-0.51447,-0.2936,0.02465
