county_fips,county_name,county_seat,state_name,state_abbr,median_household_income_2010,poverty_pct_overall_2010,poverty_pct_under_18_2010,population_total_2000,population_white_2000,population_black_2000,population_am_ind_2000,population_asian_2000,population_pacific_2000,population_two_races_nh_2000,population_hispanic_2000,population_over_18_total_2000,population_pct_white_2000,population_pct_black_2000,population_pct_am_ind_2000,population_pct_asian_2000,population_pct_pacific_2000,population_pct_two_races_nh_2000,population_pct_hispanic_2000,population_pct_over_18_2000,bachelor_degree_pct_of_adults_2000,votes_democrat_2000,votes_republican_2000,votes_other_2000,votes_total_2000,votes_pct_democrat_2000,votes_pct_republican_2000,votes_pct_other_2000,votes_pct_two_party_democrat_2000,votes_pct_two_party_republican_2000,winning_party_2000,winning_margin_2000,winning_two_party_margin_2000,votes_pct_partisan_index_2000,population_total_2004,population_white_2004,population_black_2004,population_am_ind_2004,population_asian_2004,population_pacific_2004,population_two_races_nh_2004,population_hispanic_2004,population_over_18_total_2004,population_pct_white_2004,population_pct_black_2004,population_pct_am_ind_2004,population_pct_asian_2004,population_pct_pacific_2004,population_pct_two_races_nh_2004,population_pct_hispanic_2004,population_pct_over_18_2004,bachelor_degree_pct_of_adults_2004,votes_democrat_2004,votes_republican_2004,votes_other_2004,votes_total_2004,votes_pct_democrat_2004,votes_pct_republican_2004,votes_pct_other_2004,votes_pct_two_party_democrat_2004,votes_pct_two_party_republican_2004,winning_party_2004,winning_margin_2004,winning_two_party_margin_2004,votes_pct_partisan_index_2004,votes_pct_swing_from_prev_election_2004,population_total_2008,population_white_2008,population_black_2008,population_am_ind_2008,population_asian_2008,population_pacific_2008,population_two_races_nh_2008,population_hispanic_2008,population_over_18_total_2008,population_pct_white_2008,population_pct_black_2008,population_pct_am_ind_2008,population_pct_asian_2008,population_pct_pacific_2008,population_pct_two_races_nh_2008,population_pct_hispanic_2008,population_pct_over_18_2008,bachelor_degree_pct_of_adults_2008,votes_democrat_2008,votes_republican_2008,votes_other_2008,votes_total_2008,votes_pct_democrat_2008,votes_pct_republican_2008,votes_pct_other_2008,votes_pct_two_party_democrat_2008,votes_pct_two_party_republican_2008,winning_party_2008,winning_margin_2008,winning_two_party_margin_2008,votes_pct_partisan_index_2008,votes_pct_swing_from_prev_election_2008,population_total_2012,population_white_2012,population_black_2012,population_am_ind_2012,population_asian_2012,population_pacific_2012,population_two_races_nh_2012,population_hispanic_2012,population_over_18_total_2012,population_pct_white_2012,population_pct_black_2012,population_pct_am_ind_2012,population_pct_asian_2012,population_pct_pacific_2012,population_pct_two_races_nh_2012,population_pct_hispanic_2012,population_pct_over_18_2012,bachelor_degree_pct_of_adults_2012,votes_democrat_2012,votes_republican_2012,votes_other_2012,votes_total_2012,votes_pct_democrat_2012,votes_pct_republican_2012,votes_pct_other_2012,votes_pct_two_party_democrat_2012,votes_pct_two_party_republican_2012,winning_party_2012,winning_margin_2012,winning_two_party_margin_2012,votes_pct_partisan_index_2012,votes_pct_swing_from_prev_election_2012,population_total_2016,population_white_2016,population_black_2016,population_am_ind_2016,population_asian_2016,population_pacific_2016,population_two_races_nh_2016,population_hispanic_2016,population_over_18_total_2016,population_pct_white_2016,population_pct_black_2016,population_pct_am_ind_2016,population_pct_asian_2016,population_pct_pacific_2016,population_pct_two_races_nh_2016,population_pct_hispanic_2016,population_pct_over_18_2016,bachelor_degree_pct_of_adults_2016,votes_democrat_2016,votes_republican_2016,votes_other_2016,votes_total_2016,votes_pct_democrat_2016,votes_pct_republican_2016,votes_pct_other_2016,votes_pct_two_party_democrat_2016,votes_pct_two_party_republican_2016,winning_party_2016,winning_margin_2016,winning_two_party_margin_2016,votes_pct_partisan_index_2016,votes_pct_swing_from_prev_election_2016,population_total_2020,population_white_2020,population_black_2020,population_am_ind_2020,population_asian_2020,population_pacific_2020,population_two_races_nh_2020,population_hispanic_2020,population_over_18_total_2020,population_pct_white_2020,population_pct_black_2020,population_pct_am_ind_2020,population_pct_asian_2020,population_pct_pacific_2020,population_pct_two_races_nh_2020,population_pct_hispanic_2020,population_pct_over_18_2020,bachelor_degree_pct_of_adults_2020,votes_democrat_2020,votes_republican_2020,votes_other_2020,votes_total_2020,votes_pct_democrat_2020,votes_pct_republican_2020,votes_pct_other_2020,votes_pct_two_party_democrat_2020,votes_pct_two_party_republican_2020,winning_party_2020,winning_margin_2020,winning_two_party_margin_2020,votes_pct_partisan_index_2020,votes_pct_swing_from_prev_election_2020,population_total_2024,population_white_2024,population_black_2024,population_am_ind_2024,population_asian_2024,population_pacific_2024,population_two_races_nh_2024,population_hispanic_2024,population_over_18_total_2024,population_pct_white_2024,population_pct_black_2024,population_pct_am_ind_2024,population_pct_asian_2024,population_pct_pacific_2024,population_pct_two_races_nh_2024,population_pct_hispanic_2024,population_pct_over_18_2024,bachelor_degree_pct_of_adults_2024,votes_democrat_2024,votes_republican_2024,votes_other_2024,votes_total_2024,votes_pct_democrat_2024,votes_pct_republican_2024,votes_pct_other_2024,votes_pct_two_party_democrat_2024,votes_pct_two_party_republican_2024,winning_party_2024,winning_margin_2024,winning_two_party_margin_2024,votes_pct_partisan_index_2024,votes_pct_swing_from_prev_election_2024
01001,Autauga,Prattville,Alabama,AL,53049,0.119,0.175,44021,35162,7503,186,200,12,346,612,31619,0.79876,0.17044,0.00423,0.00454,0.00027,0.00786,0.0139,0.71827,0.18,4942,11993,273,17208,0.28719,0.69694,0.01586,0.29182,0.70818,REPUBLICAN,0.40975,-0.40975,-0.20746,48366,38129,8337,206,318,13,494,869,34890,0.78834,0.17237,0.00426,0.00657,0.00027,0.01021,0.01797,0.72137,0.19854,4758,15196,127,20081,0.23694,0.75674,0.00632,0.23845,0.76155,REPUBLICAN,0.5198,-0.5198,-0.24758,-0.11005,53277,41376,9409,216,420,21,660,1175,38702,0.77662,0.17661,0.00405,0.00788,0.00039,0.01239,0.02205,0.72643,0.217078306,6093,17403,145,23641,0.25773,0.73614,0.00613,0.25932,0.74068,REPUBLICAN,0.47841,-0.47841,-0.27557,0.04139,54954,42188,9876,246,545,29,755,1315,40970,0.7677,0.17971,0.00448,0.00992,0.00053,0.01374,0.02393,0.74553,0.21708,6363,17379,190,23932,0.26588,0.72618,0.00794,0.26801,0.73199,REPUBLICAN,0.4603,-0.4603,-0.24945,0.01811,55243,41471,10461,231,634,34,914,1498,42189,0.7507,0.18936,0.00418,0.01148,0.00062,0.01655,0.02712,0.7637,0.24995,5936,18172,865,24973,0.2377,0.72767,0.03464,0.24623,0.75377,REPUBLICAN,0.48997,-0.48997,-0.25548,-0.02967,58909,42862,11916,241,667,45,1044,2134,45213,0.7276,0.20228,0.00409,0.01132,0.00076,0.01772,0.03623,0.76751,0.28283,7503,19838,429,27770,0.27018,0.71437,0.01545,0.27442,0.72558,REPUBLICAN,0.44419,-0.44419,-0.24437,0.04578,61464,43599,13078,250,827,48,1197,2465,47450,0.70934,0.21277,0.00407,0.01346,0.00078,0.01947,0.0401,0.772,0.28283,7439,20484,358,28281,0.26304,0.7243,0.01266,0.26641,0.73359,REPUBLICAN,0.46126,-0.46126,-0.22327,-0.01707
01003,Baldwin,Bay Minette,Alabama,AL,47618,0.133,0.202,141342,121887,14468,761,540,37,1154,2495,107261,0.86236,0.10236,0.00538,0.00382,0.00026,0.00816,0.01765,0.75888,0.231,13997,40872,1611,56480,0.24782,0.72365,0.02852,0.2551,0.7449,REPUBLICAN,0.47583,-0.47583,-0.2405,156266,133471,15292,911,923,53,1506,4110,119981,0.85413,0.09786,0.00583,0.00591,0.00034,0.00964,0.0263,0.7678,0.25421,15599,52971,750,69320,0.22503,0.76415,0.01082,0.22749,0.77251,REPUBLICAN,0.53912,-0.53912,-0.25725,-0.06329,175827,148139,16442,1069,1207,75,2042,6853,135085,0.84253,0.09351,0.00608,0.00686,0.00043,0.01161,0.03898,0.76828,0.277415908,19386,61271,756,81413,0.23812,0.75259,0.00929,0.24035,0.75965,REPUBLICAN,0.51447,-0.51447,-0.2936,0.02465,190145,158653,17632,1243,1619,85,2546,8367,147626,0.83438,0.09273,0.00654,0.00851,0.00045,0.01339,0.044,0.77639,0.27742,18424,66016,898,85338,0.21589,0.77358,0.01052,0.21819,0.78181,REPUBLICAN,0.55769,-0.55769,-0.29814,-0.04322,207601,172788,18748,1403,2090,89,3192,9291,162808,0.83231,0.09031,0.00676,0.01007,0.00043,0.01538,0.04475,0.78424,0.3027,18458,72883,3874,95215,0.19386,0.76546,0.04069,0.20208,0.79792,REPUBLICAN,0.5716,-0.5716,-0.29629,-0.01391,233244,192439,19818,1536,2500,121,4105,12725,183833,0.82505,0.08497,0.00659,0.01072,0.00052,0.0176,0.05456,0.78816,0.32798,24578,83544,1557,109679,0.22409,0.76171,0.0142,0.22732,0.77268,REPUBLICAN,0.53762,-0.53762,-0.29109,0.03398,261608,213862,21742,1703,3078,139,4981,16103,208342,0.81749,0.08311,0.00651,0.01177,0.00053,0.01904,0.06155,0.79639,0.32798,24934,95798,1517,122249,0.20396,0.78363,0.01241,0.20652,0.79348,REPUBLICAN,0.57967,-0.57967,-0.28248,-0.04205
01005,Barbour,Clayton,Alabama,AL,33074,0.253,0.362,29015,14764,13392,119,84,6,172,478,21750,0.50884,0.46155,0.0041,0.0029,0.00021,0.00593,0.01647,0.74961,0.109,5188,5096,111,10395,0.49909,0.49024,0.01068,0.50447,0.49553,DEMOCRAT,0.00885,0.00885,0.00184,28287,13794,13231,105,98,10,184,865,21684,0.48764,0.46774,0.00371,0.00346,0.00035,0.0065,0.03058,0.76657,0.12712,4832,5899,46,10777,0.44836,0.54737,0.00427,0.45028,0.54972,REPUBLICAN,0.09901,-0.09901,-0.03719,-0.10786,27808,13119,12968,65,109,23,180,1344,21580,0.47177,0.46634,0.00234,0.00392,0.00083,0.00647,0.04833,0.77604,0.145242862,5697,5866,67,11630,0.48985,0.50439,0.00576,0.49269,0.50731,REPUBLICAN,0.01454,-0.01454,-0.04363,0.08447,27169,12705,12806,64,126,23,218,1227,21379,0.46763,0.47135,0.00236,0.00464,0.00085,0.00802,0.04516,0.78689,0.14524,5912,5550,47,11509,0.51368,0.48223,0.00408,0.51579,0.48421,DEMOCRAT,0.03145,0.03145,-0.00357,0.04599,25806,11937,12284,73,112,22,265,1113,20417,0.46257,0.47601,0.00283,0.00434,0.00085,0.01027,0.04313,0.79117,0.12995,4871,5454,144,10469,0.46528,0.52097,0.01375,0.47177,0.52823,REPUBLICAN,0.05569,-0.05569,-0.03834,-0.08714,24975,11157,11756,97,114,31,326,1494,19680,0.44673,0.47071,0.00388,0.00456,0.00124,0.01305,0.05982,0.78799,0.11465,4816,5622,80,10518,0.45788,0.53451,0.00761,0.46139,0.53861,REPUBLICAN,0.07663,-0.07663,-0.06059,-0.02094,24358,10928,11240,101,141,33,338,1577,19484,0.44864,0.46145,0.00415,0.00579,0.00135,0.01388,0.06474,0.7999,0.11465,4158,5606,91,9855,0.42192,0.56885,0.00923,0.42585,0.57415,REPUBLICAN,0.14693,-0.14693,-0.0661,-0.0703
01007,Bibb,Centreville,Alabama,AL,35472,0.209,0.286,19913,15574,3976,47,17,2,91,206,14660,0.7821,0.19967,0.00236,0.00085,0.0001,0.00457,0.01035,0.7362,0.071,2710,4273,118,7101,0.38164,0.60175,0.01662,0.38809,0.61191,REPUBLICAN,0.22011,-0.22011,-0.11264,21721,16466,4749,58,16,1,112,319,16415,0.75807,0.21864,0.00267,0.00074,5e-05,0.00516,0.01469,0.75572,0.08048,2089,5472,39,7600,0.27487,0.72,0.00513,0.27629,0.72371,REPUBLICAN,0.44513,-0.44513,-0.21025,-0.22502,22705,17090,4995,63,22,5,167,363,17434,0.7527,0.22,0.00277,0.00097,0.00022,0.00736,0.01599,0.76785,0.089960046,2299,6262,83,8644,0.26596,0.72443,0.0096,0.26854,0.73146,REPUBLICAN,0.45847,-0.45847,-0.2656,-0.01334,22667,17013,4871,73,30,7,194,479,17847,0.75056,0.21489,0.00322,0.00132,0.00031,0.00856,0.02113,0.78736,0.08996,2202,6132,86,8420,0.26152,0.72827,0.01021,0.26422,0.73578,REPUBLICAN,0.46675,-0.46675,-0.25267,-0.00828,22586,16845,4856,71,42,7,207,558,17984,0.74582,0.215,0.00314,0.00186,0.00031,0.00916,0.02471,0.79625,0.10232,1874,6738,207,8819,0.2125,0.76403,0.02347,0.2176,0.7824,REPUBLICAN,0.55153,-0.55153,-0.28626,-0.08478,22176,16440,4583,93,47,6,283,724,17760,0.74134,0.20666,0.00419,0.00212,0.00027,0.01276,0.03265,0.80087,0.11468,1986,7525,84,9595,0.20698,0.78426,0.00875,0.20881,0.79119,REPUBLICAN,0.57728,-0.57728,-0.31092,-0.02575,22258,16251,4675,106,57,8,365,796,17884,0.73012,0.21004,0.00476,0.00256,0.00036,0.0164,0.03576,0.80349,0.11468,1619,7572,66,9257,0.17489,0.81798,0.00713,0.17615,0.82385,REPUBLICAN,0.64309,-0.64309,-0.31419,-0.06581
01009,Blount,Oneonta,Alabama,AL,42906,0.165,0.241,51107,47106,594,223,72,6,374,2732,38233,0.92171,0.01162,0.00436,0.00141,0.00012,0.00732,0.05346,0.7481,0.096,4977,12667,329,17973,0.27692,0.70478,0.01831,0.28208,0.71792,REPUBLICAN,0.42786,-0.42786,-0.21651,54124,49123,828,269,86,8,437,3373,40533,0.9076,0.0153,0.00497,0.00159,0.00015,0.00807,0.06232,0.74889,0.10991,3938,17386,180,21504,0.18313,0.8085,0.00837,0.18467,0.81533,REPUBLICAN,0.62537,-0.62537,-0.30037,-0.19751,57055,51061,795,268,111,15,503,4302,43024,0.89494,0.01393,0.0047,0.00195,0.00026,0.00882,0.0754,0.75408,0.123814691,3522,20389,356,24267,0.14514,0.84019,0.01467,0.1473,0.8527,REPUBLICAN,0.69505,-0.69505,-0.38389,-0.06968,57580,50825,820,283,142,23,631,4856,43855,0.88268,0.01424,0.00491,0.00247,0.0004,0.01096,0.08433,0.76164,0.12381,2970,20757,279,24006,0.12372,0.86466,0.01162,0.12517,0.87483,REPUBLICAN,0.74094,-0.74094,-0.38977,-0.04589,57494,50335,812,264,138,21,716,5208,44299,0.87548,0.01412,0.00459,0.0024,0.00037,0.01245,0.09058,0.7705,0.1398,2156,22859,573,25588,0.08426,0.89335,0.02239,0.08619,0.91381,REPUBLICAN,0.80909,-0.80909,-0.41504,-0.06815,59110,51173,906,280,208,21,748,5774,45686,0.86572,0.01533,0.00474,0.00352,0.00036,0.01265,0.09768,0.7729,0.15579,2640,24711,237,27588,0.09569,0.89572,0.00859,0.09652,0.90348,REPUBLICAN,0.80003,-0.80003,-0.42229,0.00906,60163,51158,1153,287,225,34,839,6467,46694,0.85032,0.01916,0.00477,0.00374,0.00057,0.01395,0.10749,0.77612,0.15579,2576,25354,233,28163,0.09147,0.90026,0.00827,0.09223,0.90777,REPUBLICAN,0.80879,-0.80879,-0.39703,-0.00876
01011,Bullock,Union Springs,Alabama,AL,25969,0.311,0.403,11581,2734,8401,37,21,1,65,322,8610,0.23608,0.72541,0.00319,0.00181,9e-05,0.00561,0.0278,0.74346,0.077,3395,1433,76,4904,0.69229,0.29221,0.0155,0.70319,0.29681,DEMOCRAT,0.40008,0.40008,0.19746,11056,2484,7857,40,19,3,63,590,8399,0.22467,0.71065,0.00362,0.00172,0.00027,0.0057,0.05336,0.75968,0.09791,3210,1494,13,4717,0.68052,0.31673,0.00276,0.6824,0.3176,DEMOCRAT,0.36379,0.36379,0.19421,-0.03629,10953,2444,7674,19,20,5,55,736,8502,0.22314,0.70063,0.00173,0.00183,0.00046,0.00502,0.0672,0.77623,0.118811881,4011,1391,13,5415,0.74072,0.25688,0.0024,0.7425,0.2575,DEMOCRAT,0.48384,0.48384,0.20556,0.12005,10606,2341,7343,23,21,4,70,804,8346,0.22072,0.69234,0.00217,0.00198,0.00038,0.0066,0.07581,0.78691,0.11881,4061,1251,10,5322,0.76306,0.23506,0.00188,0.7645,0.2355,DEMOCRAT,0.528,0.528,0.2447,0.04416,10389,2259,7219,29,20,5,83,774,8253,0.21744,0.69487,0.00279,0.00193,0.00048,0.00799,0.0745,0.7944,0.1044,3530,1140,40,4710,0.74947,0.24204,0.00849,0.75589,0.24411,DEMOCRAT,0.50743,0.50743,0.24322,-0.02057,10230,2185,7353,29,15,5,92,551,8124,0.21359,0.71877,0.00283,0.00147,0.00049,0.00899,0.05386,0.79413,0.09,3446,1146,21,4613,0.74702,0.24843,0.00455,0.75044,0.24956,DEMOCRAT,0.49859,0.49859,0.22702,-0.00884,9901,2195,6885,28,25,5,100,663,7938,0.22169,0.69538,0.00283,0.00252,0.0005,0.0101,0.06696,0.80174,0.09,2983,1101,27,4111,0.72561,0.26782,0.00657,0.73041,0.26959,DEMOCRAT,0.45779,0.45779,0.23625,-0.0408
01013,Butler,Greenville,Alabama,AL,29500,0.281,0.396,21325,12369,8666,44,37,0,66,143,15682,0.58002,0.40638,0.00206,0.00174,0,0.00309,0.00671,0.73538,0.104,3606,4127,70,7803,0.46213,0.5289,0.00897,0.46631,0.53369,REPUBLICAN,0.06677,-0.06677,-0.03597,20870,11809,8675,50,86,3,90,157,15627,0.56584,0.41567,0.0024,0.00412,0.00014,0.00431,0.00752,0.74878,0.11634,3413,4979,24,8416,0.40554,0.59161,0.00285,0.4067,0.5933,REPUBLICAN,0.18607,-0.18607,-0.08072,-0.1193,20949,11376,9062,57,151,3,124,176,15897,0.54303,0.43257,0.00272,0.00721,0.00014,0.00592,0.0084,0.75884,0.128684042,4188,5485,36,9709,0.43135,0.56494,0.00371,0.43296,0.56704,REPUBLICAN,0.13359,-0.13359,-0.10316,0.05248,20670,11048,8953,62,206,9,148,244,15852,0.53449,0.43314,0.003,0.00997,0.00044,0.00716,0.0118,0.76691,0.12868,4374,5087,35,9496,0.46061,0.5357,0.00369,0.46232,0.53768,REPUBLICAN,0.07509,-0.07509,-0.05684,0.0585,20012,10384,8828,70,264,9,192,265,15540,0.51889,0.44114,0.0035,0.01319,0.00045,0.00959,0.01324,0.77653,0.13317,3726,4901,105,8732,0.42671,0.56127,0.01202,0.4319,0.5681,REPUBLICAN,0.13456,-0.13456,-0.07778,-0.05947,19027,9690,8500,73,261,7,206,290,14803,0.50928,0.44673,0.00384,0.01372,0.00037,0.01083,0.01524,0.778,0.13765,3965,5458,65,9488,0.4179,0.57525,0.00685,0.42078,0.57922,REPUBLICAN,0.15735,-0.15735,-0.10095,-0.02279,18256,9176,8164,84,232,9,238,353,14319,0.50263,0.4472,0.0046,0.01271,0.00049,0.01304,0.01934,0.78434,0.13765,3251,5172,57,8480,0.38337,0.60991,0.00672,0.38597,0.61403,REPUBLICAN,0.22654,-0.22654,-0.10591,-0.06919
01015,Calhoun,Anniston,Alabama,AL,37916,0.235,0.315,111081,86638,20668,433,634,75,878,1755,84788,0.77995,0.18606,0.0039,0.00571,0.00068,0.0079,0.0158,0.7633,0.152,15781,22306,822,38909,0.40559,0.57329,0.02113,0.41434,0.58566,REPUBLICAN,0.1677,-0.1677,-0.08643,113462,86503,22038,451,731,87,1148,2504,86850,0.7624,0.19423,0.00397,0.00644,0.00077,0.01012,0.02207,0.76545,0.1561,15083,29814,352,45249,0.33333,0.65889,0.00778,0.33595,0.66405,REPUBLICAN,0.32556,-0.32556,-0.15046,-0.15786,117274,87111,23809,498,789,83,1531,3453,89906,0.7428,0.20302,0.00425,0.00673,0.00071,0.01305,0.02944,0.76663,0.160198204,16334,32348,560,49242,0.33171,0.65692,0.01137,0.33552,0.66448,REPUBLICAN,0.32521,-0.32521,-0.19897,0.00035,117190,85989,24059,462,926,98,1717,3939,90753,0.73376,0.2053,0.00394,0.0079,0.00084,0.01465,0.03361,0.77441,0.1602,15511,30278,468,46257,0.33532,0.65456,0.01012,0.33875,0.66125,REPUBLICAN,0.31924,-0.31924,-0.17892,0.00597,114973,83348,23780,460,1078,97,1967,4243,89725,0.72494,0.20683,0.004,0.00938,0.00084,0.01711,0.0369,0.7804,0.18282,13242,32865,1757,47864,0.27666,0.68663,0.03671,0.2872,0.7128,REPUBLICAN,0.40997,-0.40997,-0.21548,-0.09073,116242,82125,25296,466,956,113,2260,5026,90685,0.7065,0.21761,0.00401,0.00822,0.00097,0.01944,0.04324,0.78014,0.20545,15216,35101,666,50983,0.29845,0.68848,0.01306,0.3024,0.6976,REPUBLICAN,0.39003,-0.39003,-0.21729,0.01994,116427,80413,25904,448,1024,112,2645,5881,90860,0.69067,0.22249,0.00385,0.0088,0.00096,0.02272,0.05051,0.7804,0.20545,13194,34912,547,48653,0.27119,0.71757,0.01124,0.27427,0.72573,REPUBLICAN,0.44638,-0.44638,-0.21583,-0.05635
15007,Kauai,Lihue,Hawaii,HI,52714,0.121,0.157,58568,16625,164,146,20760,5137,10981,4755,43480,0.28386,0.0028,0.00249,0.35446,0.08771,0.18749,0.08119,0.74238,0.194,13470,6583,1720,21773,0.61866,0.30235,0.079,0.67172,0.32828,DEMOCRAT,0.31631,0.31631,0.15557,62095,18592,256,159,20514,5405,11836,5333,47161,0.29941,0.00412,0.00256,0.33036,0.08704,0.19061,0.08588,0.7595,0.22154,14916,9740,220,24876,0.59961,0.39154,0.00884,0.60496,0.39504,DEMOCRAT,0.20807,0.20807,0.11635,-0.10824,65603,20268,289,177,20300,5645,12796,6128,50593,0.30895,0.00441,0.0027,0.30944,0.08605,0.19505,0.09341,0.7712,0.24907847360000002,20416,6245,563,27224,0.74993,0.22939,0.02068,0.76576,0.23424,DEMOCRAT,0.52054,0.52054,0.22391,0.31247,68671,20551,295,170,21001,5950,13820,6884,53389,0.29927,0.0043,0.00248,0.30582,0.08665,0.20125,0.10025,0.77746,0.24908,18641,6121,610,25372,0.73471,0.24125,0.02404,0.75281,0.24719,DEMOCRAT,0.49346,0.49346,0.22743,-0.02708,71537,21340,385,176,21271,6044,14532,7789,55910,0.29831,0.00538,0.00246,0.29734,0.08449,0.20314,0.10888,0.78155,0.27572,16456,7574,2305,26335,0.62487,0.2876,0.08753,0.68481,0.31519,DEMOCRAT,0.33727,0.33727,0.15814,-0.15619,73209,21657,459,174,21564,6234,15588,7533,57674,0.29582,0.00627,0.00238,0.29455,0.08515,0.21292,0.1029,0.7878,0.30236,21225,11582,690,33497,0.63364,0.34576,0.0206,0.64697,0.35303,DEMOCRAT,0.28788,0.28788,0.12166,-0.04939,73840,21207,517,186,21448,6250,16191,8041,58669,0.2872,0.007,0.00252,0.29047,0.08464,0.21927,0.1089,0.79454,0.30236,17675,11803,586,30064,0.58791,0.3926,0.01949,0.5996,0.4004,DEMOCRAT,0.19531,0.19531,0.10502,-0.09257
15009,Maui,Wailuku,Hawaii,HI,56206,0.119,0.166,128933,41817,499,357,39681,13535,22927,10117,96611,0.32433,0.00387,0.00277,0.30776,0.10498,0.17782,0.07847,0.74931,0.224,23484,12876,2888,39248,0.59835,0.32807,0.07358,0.64587,0.35413,DEMOCRAT,0.27028,0.27028,0.13256,140508,45870,691,417,41419,14351,25407,12353,106787,0.32646,0.00492,0.00297,0.29478,0.10214,0.18082,0.08792,0.76001,0.23752,28803,18187,440,47430,0.60727,0.38345,0.00928,0.61296,0.38704,DEMOCRAT,0.22382,0.22382,0.12422,-0.04646,151325,49219,821,401,42877,15195,28002,14810,116320,0.32525,0.00543,0.00265,0.28334,0.10041,0.18505,0.09787,0.76868,0.251049023,39727,11154,908,51789,0.76709,0.21537,0.01753,0.78078,0.21922,DEMOCRAT,0.55172,0.55172,0.2395,0.3279,158889,49655,925,417,44742,16084,30447,16619,123129,0.31251,0.00582,0.00262,0.28159,0.10123,0.19162,0.1046,0.77494,0.25105,36052,11602,999,48653,0.741,0.23846,0.02053,0.75654,0.24346,DEMOCRAT,0.50254,0.50254,0.23197,-0.04918,165350,50516,1086,452,46034,16723,31885,18654,129218,0.30551,0.00657,0.00273,0.2784,0.10114,0.19283,0.11282,0.78148,0.27589,33480,13446,5019,51945,0.64453,0.25885,0.09662,0.71346,0.28654,DEMOCRAT,0.38568,0.38568,0.18235,-0.11686,164802,49939,1175,455,46231,16275,33661,17066,129945,0.30302,0.00713,0.00276,0.28052,0.09875,0.20425,0.10355,0.78849,0.30074,47305,22126,1613,71044,0.66585,0.31144,0.0227,0.68132,0.31868,DEMOCRAT,0.35441,0.35441,0.15493,-0.03127,163688,48330,1237,497,46384,15742,33774,17724,130380,0.29526,0.00756,0.00304,0.28337,0.09617,0.20633,0.10828,0.79652,0.30074,38905,22621,1367,62893,0.61859,0.35967,0.02174,0.63233,0.36767,DEMOCRAT,0.25892,0.25892,0.13682,-0.09549
